UID,composite_ID,test,congruence,theta,se,TSVR_hours,TSVR_sq,TSVR_log
A031,A031_4,4,incongruent,-0.809546,0.2502669460427529,143.85,20692.8225,4.975698724215359
A032,A032_1,1,common,0.84929293,0.2040954520165139,1.0,1.0,0.6931471805599453
A032,A032_1,1,congruent,-0.32032472,0.2036301722131973,1.0,1.0,0.6931471805599453
A032,A032_1,1,incongruent,0.74906033,0.2502669460427529,1.0,1.0,0.6931471805599453
A032,A032_2,2,common,-0.8974244,0.2040954520165139,57.18,3269.5524,4.063541653067055
A032,A032_2,2,congruent,0.8618868,0.2036301722131973,57.18,3269.5524,4.063541653067055
A032,A032_2,2,incongruent,-0.93313515,0.2502669460427529,57.18,3269.5524,4.063541653067055
A032,A032_3,3,common,0.3023255,0.2040954520165139,80.16,6425.625599999999,4.396422514957614
A032,A032_3,3,congruent,0.9387164,0.2036301722131973,80.16,6425.625599999999,4.396422514957614
A032,A032_3,3,incongruent,0.08746052,0.2502669460427529,80.16,6425.625599999999,4.396422514957614
A032,A032_4,4,common,1.1410326,0.2040954520165139,144.51,20883.140099999997,4.980244812772187
A032,A032_4,4,congruent,1.56179,0.2036301722131973,144.51,20883.140099999997,4.980244812772187
A032,A032_4,4,incongruent,1.9732755,0.2502669460427529,144.51,20883.140099999997,4.980244812772187
A033,A033_1,1,common,-0.21375239,0.2040954520165139,1.0,1.0,0.6931471805599453
A033,A033_1,1,congruent,-0.46618629,0.2036301722131973,1.0,1.0,0.6931471805599453
A033,A033_1,1,incongruent,0.085204825,0.2502669460427529,1.0,1.0,0.6931471805599453
A033,A033_2,2,common,-0.51126796,0.2040954520165139,29.16,850.3056,3.4065165431397553
A033,A033_2,2,congruent,0.7775091,0.2036301722131973,29.16,850.3056,3.4065165431397553
A033,A033_2,2,incongruent,0.20654166,0.2502669460427529,29.16,850.3056,3.4065165431397553
A033,A033_3,3,common,1.1309365,0.2040954520165139,72.6,5270.759999999999,4.298645025734831
A033,A033_3,3,congruent,0.5716325,0.2036301722131973,72.6,5270.759999999999,4.298645025734831
A033,A033_3,3,incongruent,0.7919066,0.2502669460427529,72.6,5270.759999999999,4.298645025734831
A033,A033_4,4,common,-0.48573303,0.2040954520165139,168.33,28334.988900000004,5.131849473677249
A033,A033_4,4,congruent,-0.21755381,0.2036301722131973,168.33,28334.988900000004,5.131849473677249
A033,A033_4,4,incongruent,-0.29647437,0.2502669460427529,168.33,28334.988900000004,5.131849473677249
A034,A034_1,1,common,1.5220511,0.2040954520165139,1.0,1.0,0.6931471805599453
A034,A034_1,1,congruent,1.3192437,0.2036301722131973,1.0,1.0,0.6931471805599453
A034,A034_1,1,incongruent,0.80897063,0.2502669460427529,1.0,1.0,0.6931471805599453
A034,A034_2,2,common,1.2802448,0.2040954520165139,26.08,680.1664,3.298795448044074
A034,A034_2,2,congruent,0.31293902,0.2036301722131973,26.08,680.1664,3.298795448044074
A034,A034_2,2,incongruent,1.1905587,0.2502669460427529,26.08,680.1664,3.298795448044074
A034,A034_3,3,common,-0.355349,0.2040954520165139,74.28,5517.5184,4.3212144952771245
A034,A034_3,3,congruent,-0.24640074,0.2036301722131973,74.28,5517.5184,4.3212144952771245
A034,A034_3,3,incongruent,0.49349767,0.2502669460427529,74.28,5517.5184,4.3212144952771245
A034,A034_4,4,common,-0.019100495,0.2040954520165139,145.38,21135.344399999998,4.986205980173081
A034,A034_4,4,congruent,0.020729044,0.2036301722131973,145.38,21135.344399999998,4.986205980173081
A034,A034_4,4,incongruent,0.07461927,0.2502669460427529,145.38,21135.344399999998,4.986205980173081
A035,A035_1,1,common,-0.74758095,0.2040954520165139,1.0,1.0,0.6931471805599453
A035,A035_1,1,congruent,-0.87578773,0.2036301722131973,1.0,1.0,0.6931471805599453
A035,A035_1,1,incongruent,0.16447116,0.2502669460427529,1.0,1.0,0.6931471805599453
A035,A035_2,2,common,0.91007155,0.2040954520165139,44.76,2003.4575999999997,3.8234103470715426
A035,A035_2,2,congruent,1.0198472,0.2036301722131973,44.76,2003.4575999999997,3.8234103470715426
A035,A035_2,2,incongruent,0.6100873,0.2502669460427529,44.76,2003.4575999999997,3.8234103470715426
A035,A035_3,3,common,-0.61797273,0.2040954520165139,79.98,6396.800400000001,4.394202210604015
A035,A035_3,3,congruent,0.1494134,0.2036301722131973,79.98,6396.800400000001,4.394202210604015
A035,A035_3,3,incongruent,-0.6758166,0.2502669460427529,79.98,6396.800400000001,4.394202210604015
A035,A035_4,4,common,-1.1030056,0.2040954520165139,152.47,23247.1009,5.033505108187003
A035,A035_4,4,congruent,-0.74000764,0.2036301722131973,152.47,23247.1009,5.033505108187003
A035,A035_4,4,incongruent,-0.7247635,0.2502669460427529,152.47,23247.1009,5.033505108187003
A036,A036_1,1,common,0.562801,0.2040954520165139,1.0,1.0,0.6931471805599453
A036,A036_1,1,congruent,1.1945171,0.2036301722131973,1.0,1.0,0.6931471805599453
A036,A036_1,1,incongruent,0.5357394,0.2502669460427529,1.0,1.0,0.6931471805599453
A036,A036_2,2,common,-0.68357027,0.2040954520165139,21.63,467.85689999999994,3.119276459645446
A036,A036_2,2,congruent,0.020845154,0.2036301722131973,21.63,467.85689999999994,3.119276459645446
A036,A036_2,2,incongruent,0.3122933,0.2502669460427529,21.63,467.85689999999994,3.119276459645446
A036,A036_3,3,common,0.19017884,0.2040954520165139,71.47,5107.9609,4.28317268312119
A036,A036_3,3,congruent,0.051963925,0.2036301722131973,71.47,5107.9609,4.28317268312119
A036,A036_3,3,incongruent,-0.73081326,0.2502669460427529,71.47,5107.9609,4.28317268312119
A036,A036_4,4,common,-1.0490606,0.2040954520165139,143.85,20692.8225,4.975698724215359
A036,A036_4,4,congruent,-1.0474167,0.2036301722131973,143.85,20692.8225,4.975698724215359
A036,A036_4,4,incongruent,-0.6242062,0.2502669460427529,143.85,20692.8225,4.975698724215359
A037,A037_1,1,common,1.5450315,0.2040954520165139,1.0,1.0,0.6931471805599453
A037,A037_1,1,congruent,0.12535363,0.2036301722131973,1.0,1.0,0.6931471805599453
A037,A037_1,1,incongruent,0.9702897,0.2502669460427529,1.0,1.0,0.6931471805599453
A037,A037_2,2,common,1.079026,0.2040954520165139,23.7,561.6899999999999,3.2068032436339315
A037,A037_2,2,congruent,0.29213378,0.2036301722131973,23.7,561.6899999999999,3.2068032436339315
A037,A037_2,2,incongruent,0.81884277,0.2502669460427529,23.7,561.6899999999999,3.2068032436339315
A037,A037_3,3,common,-0.33886856,0.2040954520165139,72.08,5195.5264,4.291554731509806
A037,A037_3,3,congruent,0.9487875,0.2036301722131973,72.08,5195.5264,4.291554731509806
A037,A037_3,3,incongruent,0.3954561,0.2502669460427529,72.08,5195.5264,4.291554731509806
A037,A037_4,4,common,0.46453542,0.2040954520165139,143.66,20638.1956,4.974386161421135
A037,A037_4,4,congruent,-0.4878195,0.2036301722131973,143.66,20638.1956,4.974386161421135
A037,A037_4,4,incongruent,-0.80993956,0.2502669460427529,143.66,20638.1956,4.974386161421135
A038,A038_1,1,common,1.3384287,0.2040954520165139,1.0,1.0,0.6931471805599453
A038,A038_1,1,congruent,0.7624156,0.2036301722131973,1.0,1.0,0.6931471805599453
A038,A038_1,1,incongruent,1.1569798,0.2502669460427529,1.0,1.0,0.6931471805599453
A038,A038_2,2,common,-0.3993787,0.2040954520165139,71.85,5162.422499999999,4.288402532641213
A038,A038_2,2,congruent,-0.82466686,0.2036301722131973,71.85,5162.422499999999,4.288402532641213
A038,A038_2,2,incongruent,-0.10945569,0.2502669460427529,71.85,5162.422499999999,4.288402532641213
A038,A038_3,3,common,1.5475903,0.2040954520165139,72.86,5308.5796,4.3021714094244174
A038,A038_3,3,congruent,-0.4486041,0.2036301722131973,72.86,5308.5796,4.3021714094244174
A038,A038_3,3,incongruent,1.0482209,0.2502669460427529,72.86,5308.5796,4.3021714094244174
A038,A038_4,4,common,0.6813974,0.2040954520165139,152.89,23375.352099999996,5.0362380614757605
A038,A038_4,4,congruent,-0.04568037,0.2036301722131973,152.89,23375.352099999996,5.0362380614757605
A038,A038_4,4,incongruent,-0.92518175,0.2502669460427529,152.89,23375.352099999996,5.0362380614757605
A039,A039_1,1,common,1.9972696,0.2040954520165139,1.0,1.0,0.6931471805599453
