domain_name,age_tertile,TSVR_hours,theta_observed,se_observed,ci_lower,ci_upper,theta_predicted
Where,Young,27.12,-0.65311587,,,,0.6379055364857132
Where,Young,27.25,,,,,
Where,Young,27.26,,,,,
Where,Young,27.3,,,,,
Where,Young,27.61,,,,,
Where,Young,27.97,,,,,
Where,Young,28.26,0.3406542,,,,0.009049338298052129
Where,Young,28.43,0.4782135,,,,0.642853134361171
Where,Young,28.65,1.4364381,,,,1.0478482163611076
Where,Young,28.68,,,,,
Where,Young,28.69,-1.2111,,,,-0.574570006530328
Where,Young,28.75,,,,,
Where,Young,28.93,,,,,
Where,Young,29.03,,,,,
Where,Young,29.12,,,,,
Where,Young,29.13,,,,,
Where,Young,29.16,0.45576963,,,,0.24810429253257912
Where,Young,29.33,,,,,
Where,Young,29.57,0.12924328,,,,0.10093602961741077
Where,Young,29.71,,,,,
Where,Young,29.91,,,,,
Where,Young,30.21,0.61569417,,,,0.5284262461587779
Where,Young,30.4,,,,,
Where,Young,30.49,,,,,
Where,Young,30.92,,,,,
Where,Young,31.07,,,,,
Where,Young,31.14,,,,,
Where,Young,31.39,,,,,
Where,Young,31.76,,,,,
Where,Young,31.78,-1.2771462,,,,0.12272437491758972
Where,Young,32.14,,,,,
Where,Young,32.31,,,,,
Where,Young,32.41,0.23107058,,,,0.41010900882068846
Where,Young,32.71,,,,,
Where,Young,32.85,0.5182861,,,,0.12773165102296222
Where,Young,32.95,1.2273304,,,,0.05703620337341542
Where,Young,33.61,,,,,
Where,Young,33.76,,,,,
Where,Young,34.03,0.034030903,,,,0.07737925931158365
Where,Young,35.16,,,,,
Where,Young,37.65,,,,,
Where,Young,44.69,,,,,
Where,Young,44.76,0.78530264,,,,-0.12484341720267741
Where,Young,47.66,,,,,
Where,Young,53.88,,,,,
Where,Young,57.18,-0.19438347,,,,0.4057368424620265
Where,Young,61.28,0.13619477,,,,0.350060106461884
Where,Young,64.94,,,,,
Where,Young,65.63,,,,,
Where,Young,66.08,,,,,
Where,Young,66.28,,,,,
Where,Young,66.66,,,,,
Where,Young,66.9,,,,,
Where,Young,68.96,,,,,
Where,Young,69.46,,,,,
Where,Young,69.99,,,,,
Where,Young,70.22,,,,,
Where,Young,70.56,0.22653097,,,,0.17943463682358024
Where,Young,70.59,1.7067914,,,,0.840472506085321
Where,Young,70.83,,,,,
Where,Young,71.17,,,,,
Where,Young,71.19,,,,,
Where,Young,71.28,,,,,
Where,Young,71.31,,,,,
Where,Young,71.37,,,,,
Where,Young,71.4,,,,,
Where,Young,71.45,,,,,
Where,Young,71.46,,,,,
